type,id,name
way,40717424,Queen Victoria Building
node,4404481089,Manly Beach
way,4942687,Royal Ontario Museum
way,198471666,Casa Loma
way,62255416,Hockey Hall of Fame
way,141693334,Art Gallery of Ontario
way,197447638,Ripley's Aquarium of Canada
node,475881469,Distillery District
way,379296804,Distillery District
way,24626769,St. Lawrence Market South
node,540349856,Toronto Islands
node,1048873262,Emperor Valley Zoo
node,1821476689,Pigeon Point
node,299560040,Englishman's Bay
way,142065155,Maracas Beach
way,96579810,Queen's Park Savannah
node,1516494506,Fort King George
way,60608401,Capilano Suspension Bridge
way,58754861,Granville Island
way,37084312,Science World
way,58305151,Vancouver Aquarium
way,456158488,Dr. Sun Yat-Sen Classical Chinese Garden
way,223635729,Canada Place
way,316008597,VanDusen Botanical Garden
node,4215844490,H. R. MacMillan Space Centre
relation,3898175,Hofburg
way,212496461,St. Stephen's Cathedral
way,97974754,Prater
way,31313338,Belvedere
relation,20165,Kunsthistorisches Museum
way,8097595,Vienna State Opera
way,8079437,Tiergarten Schönbrunn
way,97979331,Wiener Riesenrad
node,60438337,Albertina
way,167109428,Warsaw Uprising Museum
way,29702133,Royal Castle
way,186141946,POLIN Museum of the History of Polish Jews
way,339389366,Copernicus Science Centre
way,72833763,Tomb of the Unknown Soldier
way,8106732,Wilanów Palace
node,331759259,Polish Army Museum
node,1396431169,Museum of Broken Relationships
node,4388477091,Museum of Broken Relationships
way,295795141,Ban Jelačić Square
relation,2639024,Gornji Grad–Medveščak
way,30453995,Museum of Contemporary Art
way,101182644,Zagreb Cathedral
relation,1396624,Zagreb City Museum
relation,3768127,Kunsthaus Zürich
way,36916418,Grossmünster
node,29971007,Üetliberg
node,1262086033,Üetliberg
way,89967877,Fraumünster
node,451722224,Rietberg Museum
way,24701951,St. Peter
node,4295284933,St. Peter
